% column 1  --- T9 
% column 2  --- n + p > d + g          (PRIMAT2021 numerical inputs, the default source for reactions 2, 4, 5, etc)
% column 3  --- d + n > g + t          (PArthENoPE3.0 and Wagoner 1969)
% column 4  --- d + p > He3 + g
% column 5  --- d + d > He3 + n
% column 6  --- d + d > t + p
% column 7  --- T > He3                (PArthENoPE3.0 and Tilley et al 1987)
% column 8  --- t + p > a + g
% column 9  --- t + d > a + n
% column 10 --- t + t > n + n + a      (PRIMAT2021 and Caughlan & Fowler 1988)
% column 11 --- He3 + n > g + a        (PRIMAT2021 and Wagoner 1969)
% column 12 --- He3 + n > t + p
% column 13 --- He3 + d > a + p
% column 14 --- He3 + t > g + Li6      (PRIMAT2021 and Fukugita & Kajino 1990)
% column 15 --- He3 + t > a + d        (PRIMAT2021 and Caughlan & Fowler 1988)
% column 16 --- He3 + t > n + p + a    (PRIMAT2021 and Caughlan & Fowler 1988)
% column 17 --- He3 + He3 > a + p + p
% column 18 --- d + a > Li6 + g
% column 19 --- t + a > Li7 + g
% column 20 --- He3 + a > Be7 + g
% column 21 --- Li6 + n > Li7 + g      (PRIMAT2021 and Malaney & Fowler 1989)
% column 22 --- Li6 + n > t + a        (PRIMAT2021)
% column 23 --- Li6 + p > Be7 + g
% column 24 --- Li6 + p > He3 + a
% column 25 --- Li6 + d > Be7 + n      (PRIMAT2021 and Malaney & Fowler 1989)
% column 26 --- Li6 + d > Li7 + p      (PRIMAT2021 and Malaney & Fowler 1989)
% column 27 --- Li7 + p > a + a
% column 28 --- Li7 + p > a + a + g
% column 29 --- Li7 + d > a + a + n
% column 30 --- Be7 + n > Li7 + p
% column 31 --- Be7 + n > a + a
% column 32 --- Be7 + d > 2a + p
% 1      2           3       4           5           6           7       8           9           10      11      12          13          14      15      16      17          18         19          20          21      22      23          24          25      26      27          28          29          30          31          32
  0.001	 4.4140E+04	 1E-100	 1.3782E-11	 1.322E-08	 1.364E-08	 1E-100	 3.564E-11	 1.998E-07	 1E-100	 1E-100	 6.7993E+08	 3.496E-19	 1E-100	 1E-100	 1E-100	 1.0000E-35	 9.153E-30	6.2654E-28	1.178E-47	  1E-100	1E-100	3.1700E-29	1.0000E-24	1E-100	1E-100	1.2546E-26	2.1700E-28	7.6924E-32	5.1567E+09	4.8294E+05	1.1357E-40
  0.002  4.4065E+04  1E-100  1.9113E-08  5.489E-05   5.653E-05   1E-100  6.662E-08   1.445E-03   1E-100  1E-100  6.7606E+08  6.035E-13   1E-100  1E-100  1E-100  1.0000E-35  2.610E-23  6.8579E-21  2.300E-36   1E-100  1E-100  6.9300E-22  2.2400E-17  1E-100  1E-100  3.0970E-19  5.3400E-21  7.5390E-23  5.0250E+09  4.8495E+05  9.7591E-30
  0.003  4.3990E+04  1E-100  6.2079E-07  3.025E-03   3.110E-03   1E-100  2.495E-06   1.046E-01   1E-100  1E-100  6.7292E+08  6.248E-10   1E-100  1E-100  1E-100  2.8000E-25  3.458E-20  1.7379E-17  6.811E-31   1E-100  1E-100  2.4600E-18  8.0300E-14  1E-100  1E-100  1.1673E-15  2.0100E-17  1.7008E-18  4.9284E+09  4.8702E+05  1.9397E-24
  0.004  4.3916E+04  1E-100  5.5070E-06  3.737E-02   3.835E-02   1E-100  2.417E-05   1.539E+00   1E-100  1E-100  6.7022E+08  4.926E-08   1E-100  1E-100  1E-100  5.5500E-22  3.190E-18  2.4076E-15  1.911E-27   1E-100  1E-100  4.2100E-16  1.3700E-11  1E-100  1E-100  2.0801E-13  3.5800E-15  9.3815E-16  4.8487E+09  4.8913E+05  4.2310E-21
  0.005  4.3842E+04  1E-100  2.5833E-05  2.214E-01   2.269E-01   1E-100  1.206E-04   1.034E+01   1E-100  1E-100  6.6783E+08  1.093E-06   1E-100  1E-100  1E-100  1.2200E-19  7.929E-17  7.9718E-14  5.391E-25   1E-100  1E-100  1.6200E-14  5.2800E-10  1E-100  1E-100  8.2459E-12  1.4200E-13  8.3117E-14  4.7808E+09  4.9127E+05  9.9804E-19
  0.006  4.3769E+04  1E-100  8.3627E-05  8.556E-01   8.755E-01   1E-100  4.088E-04   4.405E+01   1E-100  1E-100  6.6566E+08  1.158E-05   1E-100  1E-100  1E-100  7.4800E-18  9.163E-16  1.1448E-12  3.975E-23   1E-100  1E-100  2.6200E-13  8.5300E-09  1E-100  1E-100  1.3593E-10  2.3300E-12  2.5311E-12  4.7216E+09  4.9345E+05  6.4197E-17
  0.007  4.3696E+04  1E-100  2.1307E-04  2.508E+00   2.563E+00   1E-100  1.080E-03   1.397E+02   1E-100  1E-100  6.6366E+08  7.600E-05   1E-100  1E-100  1E-100  1.9900E-16  7.672E-15  9.5767E-12  1.230E-21   1E-100  1E-100  2.4000E-12  7.8300E-08  1E-100  1E-100  1.2702E-09  2.1800E-11  3.8618E-11  4.6667E+09  4.9565E+05  1.7807E-15
  0.008  4.3624E+04  1E-100  4.5997E-04  6.074E+00   6.198E+00   1E-100  2.401E-03   3.614E+02   1E-100  1E-100  6.6180E+08  3.581E-04   1E-100  1E-100  1E-100  2.9800E-15  4.990E-14  5.5085E-11  2.083E-20   1E-100  1E-100  1.4900E-11  4.8700E-07  1E-100  1E-100  8.0076E-09  1.3700E-10  3.6487E-10  4.6179E+09  4.9789E+05  2.7559E-14
  0.009  4.3552E+04  1E-100  8.8022E-04  1.280E+01   1.304E+01   1E-100  4.708E-03   8.060E+02   1E-100  1E-100  6.6006E+08  1.325E-03   1E-100  1E-100  1E-100  2.9300E-14  2.100E-13  2.4116E-10  2.273E-19   1E-100  1E-100  6.9700E-11  2.2800E-06  1E-100  1E-100  3.7895E-08  6.4700E-10  2.4308E-09  4.5726E+09  5.0015E+05  2.7872E-13
  0.010  4.3481E+04  1E-100  1.5377E-03  2.427E+01   2.471E+01   1E-100  8.395E-03   1.606E+03   1E-100  1E-100  6.5840E+08  4.085E-03   1E-100  1E-100  1E-100  2.0900E-13  6.547E-13  8.5873E-10  1.778E-18   1E-100  1E-100  2.6300E-10  8.5800E-06  1E-100  1E-100  1.4433E-07  2.4600E-09  1.2430E-08  4.5305E+09  5.0243E+05  2.0424E-12
